ID | Name             | Type                     | Reading    | Units | Event
18 | UID              | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
19 | Sys Health LED   | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
20 | 01-Inlet Ambient | Temperature              | 18.00      | C     | 'OK'
21 | 02-CPU 1         | Temperature              | 40.00      | C     | 'OK'
22 | 03-CPU 2         | Temperature              | 40.00      | C     | 'OK'
23 | 04-P1 DIMM 1-6   | Temperature              | 38.00      | C     | 'OK'
24 | 05-P1 DIMM 7-12  | Temperature              | 37.00      | C     | 'OK'
25 | 06-P2 DIMM 1-6   | Temperature              | 44.00      | C     | 'OK'
26 | 07-P2 DIMM 7-12  | Temperature              | 41.00      | C     | 'OK'
27 | 08-HD Max        | Temperature              | 35.00      | C     | 'OK'
28 | 09-Exp Bay Drive | Temperature              | N/A        | C     | N/A
29 | 10-Chipset       | Temperature              | 50.00      | C     | 'OK'
30 | 11-PS 1 Inlet    | Temperature              | 38.00      | C     | 'OK'
31 | 12-PS 2 Inlet    | Temperature              | 39.00      | C     | 'OK'
32 | 13-VR P1         | Temperature              | 38.00      | C     | 'OK'
33 | 14-VR P2         | Temperature              | 46.00      | C     | 'OK'
34 | 15-VR P1 Mem     | Temperature              | 29.00      | C     | 'OK'
35 | 16-VR P1 Mem     | Temperature              | 27.00      | C     | 'OK'
36 | 17-VR P2 Mem     | Temperature              | 36.00      | C     | 'OK'
37 | 18-VR P2 Mem     | Temperature              | 33.00      | C     | 'OK'
38 | 19-PS 1 Internal | Temperature              | 40.00      | C     | 'OK'
39 | 20-PS 2 Internal | Temperature              | 40.00      | C     | 'OK'
40 | 21-PCI 1         | Temperature              | N/A        | C     | N/A
41 | 22-PCI 2         | Temperature              | N/A        | C     | N/A
42 | 23-PCI 3         | Temperature              | N/A        | C     | N/A
43 | 24-HD Controller | Temperature              | N/A        | C     | N/A
44 | 25-LOM Card      | Temperature              | N/A        | C     | N/A
45 | 26-LOM           | Temperature              | 48.00      | C     | 'OK'
46 | 27-Front Ambient | Temperature              | 23.00      | C     | 'OK'
47 | 28-P/S 2 Zone    | Temperature              | 39.00      | C     | 'OK'
48 | 29-Battery Zone  | Temperature              | 34.00      | C     | 'OK'
49 | 30-iLO Zone      | Temperature              | 40.00      | C     | 'OK'
50 | 31-PCI 1 Zone    | Temperature              | 34.00      | C     | 'OK'
51 | 32-PCI 2 Zone    | Temperature              | 33.00      | C     | 'OK'
52 | 33-PCI 3 Zone    | Temperature              | N/A        | C     | N/A
53 | 34-HD Cntlr Zone | Temperature              | N/A        | C     | N/A
54 | 35-I/O Zone      | Temperature              | 34.00      | C     | 'OK'
55 | 36-Storage Batt  | Temperature              | N/A        | C     | N/A
56 | 37-Fuse          | Temperature              | 38.00      | C     | 'OK'
57 | Fan 1            | Fan                      | N/A        | N/A   | 'transition to Running'
58 | Fan 1 DutyCycle  | Fan                      | 17.25      | %     | 'OK'
59 | Fan 1 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
60 | Fan 2            | Fan                      | N/A        | N/A   | 'transition to Running'
61 | Fan 2 DutyCycle  | Fan                      | 19.60      | %     | 'OK'
62 | Fan 2 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
